 Nrows
 372
     Z     N      Q20    beta0
     6     8     0.21     0.20
    14    22     0.50     0.10
    14    22     0.99     0.20
    14    22     1.49     0.30
    14    22     1.98     0.40
    16    12    -0.98    -0.30
    16    12    -0.65    -0.20
    16    12    -0.33    -0.10
    16    12     0.98     0.30
    16    22     1.08     0.20
    22    24     0.75     0.10
    22    24     2.24     0.30
    22    34    -2.07    -0.20
    24    22    -3.73    -0.50
    24    22     0.75     0.10
    24    42     1.36     0.10
    26    22     1.60     0.20
    26    32     1.10     0.10
    26    32     2.19     0.20
    26    38    -3.88    -0.30
    26    38    -2.58    -0.20
    26    38     5.17     0.40
    26    38     6.46     0.50
    28    28    -3.10    -0.30
    28    28    -2.07    -0.20
    28    28    -1.03    -0.10
    28    28     1.03     0.10
    28    28     5.17     0.50
    28    36    -3.88    -0.30
    28    36    -2.58    -0.20
    28    38    -5.44    -0.40
    28    38    -4.08    -0.30
    28    38    -2.72    -0.20
    28    38    -1.36    -0.10
    28    38     1.36     0.10
    28    38     2.72     0.20
    28    38     4.08     0.30
    28    38     5.44     0.40
    28    38     6.80     0.50
    28    44    -4.72    -0.30
    28    44     3.14     0.20
    28    44     4.72     0.30
    28    44     6.29     0.40
    28    46     3.29     0.20
    28    46     4.94     0.30
    28    48     3.44     0.20
    28    48     5.16     0.30
    28    48     6.88     0.40
    28    50    -1.80    -0.10
    28    50     3.59     0.20
    28    52    -1.87    -0.10
    28    52     3.75     0.20
    28    54    -3.91    -0.20
    28    54    -1.95    -0.10
    30    26     2.07     0.20
    30    32     1.23     0.10
    30    34    -5.17    -0.40
    30    34    -3.88    -0.30
    30    34    -2.58    -0.20
    30    34    -1.29    -0.10
    30    38    -5.72    -0.40
    30    38    -4.29    -0.30
    30    38    -2.86    -0.20
    30    38    -1.43    -0.10
    30    38     1.43     0.10
    30    38     2.86     0.20
    30    38     4.29     0.30
    30    38     5.72     0.40
    30    44     3.29     0.20
    30    66    -2.54    -0.10
    30    68     2.63     0.10
    30    70   -13.59    -0.50
    30    70   -10.87    -0.40
    30    70    -8.15    -0.30
    30    70    -5.44    -0.20
    30    70    -2.72    -0.10
    30    70     0.00     0.00
    30    70     2.72     0.10
    30    70     5.44     0.20
    30    70     8.15     0.30
    30    70    10.87     0.40
    30    70    13.59     0.50
    32    30    -6.13    -0.50
    32    30    -4.90    -0.40
    32    30    -3.68    -0.30
    32    30    -2.45    -0.20
    32    30    -1.23    -0.10
    32    30     1.23     0.10
    32    32     1.29     0.10
    32    32     2.58     0.20
    32    38    -4.50    -0.30
    32    54     4.23     0.20
    34    38    -4.72    -0.30
    34    42    -6.88    -0.40
    36    50    -8.46    -0.40
    36    50    -6.34    -0.30
    36    50    -4.23    -0.20
    36    50    -2.11    -0.10
    36    50     2.11     0.10
    36    50     4.23     0.20
    36    50     6.34     0.30
    36    50     8.46     0.40
    36    56    -4.73    -0.20
    36    56    -2.37    -0.10
    38    36    -8.23    -0.50
    38    36    -6.58    -0.40
    38    36    -4.94    -0.30
    38    36    -3.29    -0.20
    38    36    -1.65    -0.10
    38    36     6.58     0.40
    38    38    -5.16    -0.30
    38    48     4.23     0.20
    38    52     4.56     0.20
    38    60    -2.63    -0.10
    38    78    -3.48    -0.10
    38    86    -7.78    -0.20
    40    84    -3.89    -0.10
    42    46    -2.20    -0.10
    42    76    -3.58    -0.10
    44    38    -3.91    -0.20
    44    44     4.39     0.20
    44    46     4.56     0.20
    44    58   -14.05    -0.50
    44    58   -11.24    -0.40
    44    58    -8.43    -0.30
    44    58    -5.62    -0.20
    44    58    -2.81    -0.10
    44    58     2.81     0.10
    44    58     5.62     0.20
    44    58     8.43     0.30
    44    72     3.48     0.10
    44    72     6.96     0.20
    44    72    10.44     0.30
    44    76    -3.68    -0.10
    46    46     2.37     0.10
    46    46     7.10     0.30
    46    48     4.90     0.20
    46    52     5.26     0.20
    46    54    -5.44    -0.20
    46    54    -2.72    -0.10
    46    54     2.72     0.10
    46    54     5.44     0.20
    46    74     7.37     0.20
    46    74    11.05     0.30
    46    76     7.57     0.20
    46    76    15.14     0.40
    46    96    -4.88    -0.10
    46   100    10.21     0.20
    46   108    11.16     0.20
    48    54    -2.81    -0.10
    48    54     2.81     0.10
    48    54     5.62     0.20
    48    64   -16.42    -0.50
    48    64   -13.13    -0.40
    48    64    -9.85    -0.30
    48    64    -6.57    -0.20
    48    64    -3.28    -0.10
    48    64     3.28     0.10
    48    64     6.57     0.20
    48    64     9.85     0.30
    48    64    13.13     0.40
    48    66     6.76     0.20
    48    72    -7.37    -0.20
    48    72    -3.68    -0.10
    48    72     3.68     0.10
    48    74    -3.79    -0.10
    48    74     3.79     0.10
    48    88    -4.54    -0.10
    48    88     4.54     0.10
    48    88     9.07     0.20
    48    98    -5.11    -0.10
    48    98     5.11     0.10
    48    98    10.21     0.20
    48   110    11.65     0.20
    50    60     3.19     0.10
    50    62    -9.85    -0.30
    50    62    -6.57    -0.20
    50    62    -3.28    -0.10
    50    68    -3.58    -0.10
    50    68     7.16     0.20
    50    68    10.74     0.30
    50    70   -11.05    -0.30
    50    70    -7.37    -0.20
    50    70    -3.68    -0.10
    50    72    -7.57    -0.20
    50    72    -3.79    -0.10
    50    72     7.57     0.20
    50    74   -11.67    -0.30
    50    74    -7.78    -0.20
    50    74    -3.89    -0.10
    50    74     3.89     0.10
    50    74     7.78     0.20
    50    74    11.67     0.30
    50    96    10.21     0.20
    50    98    -5.22    -0.10
    50    98     5.22     0.10
    50    98    10.45     0.20
    50   104    -5.58    -0.10
    50   120     6.58     0.10
    52    48     5.44     0.20
    52    48     8.15     0.30
    52    52     2.90     0.10
    52    52     5.80     0.20
    52    52     8.70     0.30
    52    52    11.61     0.40
    52    60     3.28     0.10
    52    60     6.57     0.20
    52    62     3.38     0.10
    52    62     6.76     0.20
    52    66    10.74     0.30
    52    68    11.05     0.30
    52    70     7.57     0.20
    52    70    11.36     0.30
    52    72    11.67     0.30
    52    86     9.30     0.20
    54    60     3.38     0.10
    54    60     6.76     0.20
    54    62     3.48     0.10
    54    64     7.16     0.20
    54    70    11.67     0.30
    54    80     8.85     0.20
    54    82    -4.54    -0.10
    54    98    21.85     0.40
    54   128     7.37     0.10
    54   128    14.75     0.20
    56    58     6.76     0.20
    56    62     3.58     0.10
    56    64    11.05     0.30
    58    82    -4.76    -0.10
    58    84     9.75     0.20
    58   122    14.48     0.20
    60    70     8.42     0.20
    60    72     4.32     0.10
    60    74     8.85     0.20
    60    82    -4.88    -0.10
    60    84     9.98     0.20
    60    86    10.21     0.20
    60    90    16.03     0.30
    60   110    26.33     0.40
    62    74   -13.61    -0.30
    62    74     4.54     0.10
    62    74     9.07     0.20
    62    80    -4.88    -0.10
    62    80     4.88     0.10
    62    80     9.75     0.20
    62    82    -4.99    -0.10
    62    84    10.21     0.20
    62    86    10.45     0.20
    62    90    16.38     0.30
    64    74     4.65     0.10
    64    74     9.30     0.20
    64    80    -4.99    -0.10
    64    84   -10.45    -0.20
    64    84    -5.22    -0.10
    64    84    10.45     0.20
    66    86     5.46     0.10
    68    74    14.63     0.30
    68    80   -10.45    -0.20
    68    84   -27.31    -0.50
    68    84   -21.85    -0.40
    68    84   -10.92    -0.20
    68    84    -5.46    -0.10
    70    98    19.36     0.30
    72    84   -22.81    -0.40
    72    84   -11.41    -0.20
    72    84    -5.70    -0.10
    72    84     5.70     0.10
    72   100    26.84     0.40
    74    80   -27.91    -0.50
    74    80   -16.75    -0.30
    74    80   -11.16    -0.20
    74    80    -5.58    -0.10
    74    96     6.58     0.10
    74    96    19.74     0.30
    74    98    20.13     0.30
    74   124   -16.97    -0.20
    76    84   -11.90    -0.20
    76    84    -5.95    -0.10
    76    86     6.07     0.10
    76    96     6.71     0.10
    76   130     9.06     0.10
    76   130    18.13     0.20
    78    96     6.84     0.10
    78    98     6.97     0.10
    78   142    10.11     0.10
    78   142    20.23     0.20
    78   142    30.34     0.30
    80    96   -34.87    -0.50
    80    96    -6.97    -0.10
    80    98   -35.53    -0.50
    80    98   -28.42    -0.40
    80    98    -7.11    -0.10
    80   122    -8.77    -0.10
    84   100     7.51     0.10
    84   102    -7.65    -0.10
    84   114   -33.94    -0.40
    84   114    -8.49    -0.10
    84   116    -8.63    -0.10
    86   104     7.92     0.10
    86   130     9.81     0.10
    86   130    19.62     0.20
    88   104     8.06     0.10
    88   108     8.34     0.10
    88   108    16.69     0.20
    90   134    20.85     0.20
    96   124   -10.11    -0.10
    96   132    10.73     0.10
