 Nrows
 160
           Z           N          direction
           2           2           1
           4           2          -1
           4           4           1
           6           4          -1
           6           6          -1
           6           8           1
           8           8          -1
           8          10           1
          10          10          -1
          10          12           1
          12          12          -1
          12          14           1
          14          14          -1
          14          16          -1
          14          18           1
          16          18          -1
          16          20           1
          18          20          -1
          18          22           1
          20          22          -1
          20          24          -1
          20          26           1
          22          26          -1
          22          28           1
          24          28          -1
          24          30          -1
          24          32           1
          26          32          -1
          26          34           1
          28          34          -1
          28          36          -1
          28          38           1
          30          38          -1
          30          40           1
          32          40          -1
          32          42          -1
          32          44           1
          34          44          -1
          34          46           1
          36          46          -1
          36          48          -1
          36          50           1
          38          50          -1
          38          52           1
          40          52          -1
          40          54          -1
          40          56           1
          42          56          -1
          42          58           1
          44          58          -1
          44          60          -1
          44          62           1
          46          62          -1
          46          64          -1
          46          66           1
          48          66          -1
          48          68           1
          50          68          -1
          50          70          -1
          50          72           1
          52          72          -1
          52          74          -1
          52          76           1
          54          76          -1
          54          78           1
          56          78          -1
          56          80          -1
          56          82           1
          58          82          -1
          58          84          -1
          58          86           1
          60          86          -1
          60          88           1
          62          88          -1
          62          90          -1
          62          92           1
          64          92          -1
          64          94          -1
          64          96           1
          66          96          -1
          66          98          -1
          66         100           1
          68         100          -1
          68         102           1
          70         102          -1
          70         104          -1
          70         106           1
          72         106          -1
          72         108          -1
          72         110           1
          74         110          -1
          74         112          -1
          74         114           1
          76         114          -1
          76         116           1
          78         116          -1
          78         118          -1
          78         120           1
          80         120          -1
          80         122          -1
          80         124           1
          82         124          -1
          82         126          -1
          82         128           1
          84         128          -1
          84         130          -1
          84         132           1
          86         132          -1
          86         134          -1
          86         136           1
          88         136          -1
          88         138          -1
          88         140           1
          90         140          -1
          90         142           1
          92         142          -1
          92         144          -1
          92         146           1
          94         146          -1
          94         148          -1
          94         150           1
          96         150          -1
          96         152          -1
          96         154           1
          98         154          -1
          98         156          -1
          98         158           1
         100         158          -1
         100         160          -1
         100         162           1
         102         162          -1
         102         164          -1
         102         166           1
         104         166          -1
         104         168          -1
         104         170           1
         106         170          -1
         106         172          -1
         106         174           1
         108         174          -1
         108         176          -1
         108         178           1
         110         178          -1
         110         180          -1
         110         182           1
         112         182          -1
         112         184          -1
         112         186           1
         114         186          -1
         114         188          -1
         114         190           1
         116         190          -1
         116         192          -1
         116         194           1
         118         194          -1
         118         196          -1
         118         198           1
         120         198          -1
         120         200          -1
         120         202           1
